CountryName,CountryCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,RankOf2021
Gabon,GAB,20.43,20.49,20.52,20.57,20.61,20.67,20.72,20.75,20.74,21.97,22.26,"2,172,579",16657960228,7
Gambia,GMB,9.51,9.42,9.45,9.5,9.47,9.5,9.48,9.48,9.5,11.08,11.21,"2,347,706",1763819048,44
Georgia,GEO,19.63,19.65,19.42,17.44,16.51,16.6,13.94,12.67,11.57,18.5,10.66,"3,720,382",17743195770,46
Germany,DEU,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.81,3.54,"83,132,799",3845630030824,152
Ghana,GHA,5.6,5.91,6.2,6.52,6.81,5.53,4.22,4.28,4.32,4.65,4.7,"30,792,608",66983634224,130
Greece,GRC,17.86,24.44,27.47,26.49,24.9,23.54,21.49,19.29,17.31,16.3,14.8,"10,716,322",209852761469,25
Guam,GUM,13.3,12.2,11.5,7.6,6.9,5.4,5.43,5.56,5.51,6.8,6.98,"168,801",5920000000,84
Guatemala,GTM,3.09,2.76,3.02,2.72,2.51,2.58,2.46,2.28,2.19,3.55,3.57,"16,604,026",76710385880,151
Guinea,GIN,4.79,4.82,4.87,4.9,4.92,4.88,4.91,4.98,5.02,6.1,6.34,"12,771,246",13590281809,94
Guinea-Bissau,GNB,5.98,5.87,5.81,5.8,5.87,5.95,5.99,5.98,6.04,6.74,6.76,"1,920,922",1340389411,85
Guyana,GUY,12.06,12.34,12.63,12.92,13.21,13.46,13.75,14.02,13.99,16.43,16.42,"782,766",4280443645,19
Haiti,HTI,14.53,14.1,14,13.95,13.96,13.93,13.88,13.86,13.91,15.45,15.73,"11,263,077",8498981821,22
Honduras,HND,4.47,3.75,5.65,7.08,6.15,6.73,5.53,5.65,5.7,8.37,8.51,"9,746,117",25095395475,64
Hong Kong,HKG,3.42,3.29,3.4,3.3,3.31,3.39,3.13,2.82,2.93,5.83,5.32,"7,507,400",366029556273,109
Hungary,HUN,11.03,11,10.18,7.73,6.81,5.11,4.16,3.71,3.42,4.25,4.12,"9,769,949",160967157504,138
Iceland,ISL,7.03,6,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,5.4,"361,313",24188035739,106
India,IND,5.43,5.41,5.42,5.44,5.43,5.42,5.36,5.33,5.27,8,5.98,"1,366,417,754",2611000000000,99
Indonesia,IDN,5.15,4.47,4.34,4.05,4.51,4.3,3.88,4.4,3.62,4.28,4.41,"270,203,917",1119190780753,134
Iran,IRN,12.49,12.27,10.6,10.68,11.17,12.62,12.23,12.19,10.74,12.17,11.46,"82,913,906",445345282123,42
Iraq,IRQ,8.12,7.96,9.26,10.59,10.73,10.82,13.02,12.97,12.86,14.09,14.19,"39,309,783",234094042939,31
Ireland,IRL,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.63,"5,007,069",388698711348,88
Israel,ISR,7.14,6.86,6.21,5.89,5.25,4.8,4.22,4,3.8,4.33,5.05,"9,053,300",395098666122,119
Italy,ITA,8.36,10.65,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.83,"60,297,396",2001244392042,52
Ivory Coast,CIV,7.13,7.22,4.25,3.7,3.15,2.6,3.27,3.29,3.32,3.49,3.47,"25,716,544",58792205642,155
Jamaica,JAM,12.7,13.93,15.25,13.74,13.51,13.19,11.63,9.1,7.69,9.48,9.18,"2,948,279",16458071068,57
Japan,JPN,4.55,4.36,4,3.6,3.4,3.1,2.8,2.4,2.4,2.8,2.8,"126,226,568",5081769542380,162
Jordan,JOR,12.9,12.2,12.6,11.9,13.08,15.28,18.14,18.27,16.81,19.03,19.25,"10,101,694",43743661972,13
Kazakhstan,KAZ,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,4.9,"18,513,930",180161741180,123
Kenya,KEN,2.84,2.83,2.81,2.8,2.78,2.76,3.51,4.25,5.01,5.73,5.74,"52,573,973",95503088538,102
Kuwait,KWT,2.04,2.32,2.62,2.9,2.2,2.16,2.2,2.16,2.17,3.54,3.71,"4,207,083",134761198946,148
Kyrgyzstan,KGZ,8.53,8.43,8.33,8.05,7.56,7.21,6.89,6.89,6.92,8.71,9.1,"6,456,900",8454619608,59
Laos,LAO,0.73,0.74,0.75,0.76,0.78,0.79,0.81,0.83,0.85,1.03,1.26,"7,169,455",18173839128,178
Latvia,LVA,16.21,15.05,11.87,10.85,9.87,9.64,8.72,7.41,6.31,8.1,7.6,"1,912,789",34117202555,75
Lebanon,LBN,7.39,7.85,8.31,8.81,9.32,9.78,10.27,10.8,11.35,13.3,14.49,"6,855,713",53367042272,27
Lesotho,LSO,26.24,25.37,24.58,24.22,23.84,23.48,23.2,22.81,22.44,24.56,24.6,"2,125,268",2460072444,5
Liberia,LBR,2.22,2.17,2.12,2.08,2.08,3.08,3.05,3.03,3.02,3.98,4.09,"4,937,374",3070518100,140
Libya,LBY,19.39,19.03,19.45,19.46,19.53,19.53,19.37,19.45,19.66,20.07,19.58,"6,777,452",52076250948,12
Lithuania,LTU,15.39,13.36,11.77,10.7,9.12,7.86,7.07,6.15,6.26,8.49,7.9,"2,786,844",54219315600,71
Luxembourg,LUX,4.9,5.14,5.85,5.85,6.67,6.29,5.52,5.59,5.59,6.77,5.23,"645,397",71104919108,112
Macau,MAC,2.56,1.97,1.82,1.7,1.81,1.94,1.99,1.83,1.75,2.57,3.01,"682,300",53859116536,159
Madagascar,MDG,2.44,0.6,1,1.39,1.79,1.8,1.82,1.84,1.86,2.47,2.59,"26,969,307",14083906357,166
Malawi,MWI,5.92,5.95,5.95,5.9,5.86,5.82,5.76,5.76,5.75,6.7,7.02,"18,628,747",7666704427,83
Malaysia,MYS,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.5,4.61,"32,447,385",364701517788,131
Maldives,MDV,10.47,9.47,8.73,7.87,6.93,6.12,5.87,5.62,5.34,6.33,6.08,"530,953",5729248472,98
Mali,MLI,6.9,6.65,6.35,6.38,7.73,7.57,7.41,7.43,7.44,7.7,7.72,"19,658,031",17510141171,73
Malta,MLT,6.38,6.2,6.11,5.72,5.38,4.69,4,3.66,3.62,4.26,3.5,"502,653",14786156563,154
Mauritania,MRT,9.86,9.86,9.96,10.05,10.14,10.26,10.34,10.39,10.39,11.27,11.46,"4,525,696",7593752450,42
Mauritius,MUS,7.45,7.47,7.32,7.47,7.41,6.81,6.75,6.43,6.33,7.41,7.41,"1,265,711",14180444557,78
Mexico,MEX,5.17,4.89,4.91,4.81,4.31,3.86,3.42,3.28,3.48,4.45,4.38,"126,014,024",1258286717125,135
Moldova,MDA,6.68,5.58,5.1,3.73,4.7,4.02,4.1,4.11,5.1,3.82,3.96,"2,657,637",11955435457,145
Mongolia,MNG,4.77,3.9,4.23,4.8,4.86,7.24,6.36,5.38,5.44,7.01,7.08,"3,225,167",13852850259,82
Montenegro,MNE,19.67,19.97,19.5,18,17.54,17.72,16.07,15.17,15.12,17.9,18.49,"622,137",5494736901,14
Morocco,MAR,8.91,8.99,9.23,9.7,9.46,9.3,9.24,9.27,9.28,11.45,11.47,"36,910,560",118725279596,41
Mozambique,MOZ,3.26,3.3,3.34,3.38,3.43,3.45,3.45,3.46,3.47,3.81,3.98,"30,366,036",14934159926,143
Myanmar,MMR,0.77,0.75,0.75,0.75,0.77,1.18,1.56,0.87,0.5,1.06,2.17,"54,045,420",76085852617,170
Namibia,NAM,19.46,16.77,19.03,18.52,20.91,23.35,21.64,19.88,19.99,21.45,21.68,"2,494,530",12366527719,8
Nepal,NPL,2.03,2.33,2.55,2.94,3.1,2.87,3.32,3.19,3.1,4.72,5.05,"28,608,710",30641380604,119
Netherlands,NLD,4.98,5.82,7.24,7.42,6.87,6.01,4.84,3.83,3.38,3.82,4.01,"17,332,850",909070395161,141
New Caledonia,NCL,14.07,14.35,14.47,14.59,14.73,14.69,14.78,14.85,14.91,16.43,16.57,"287,800",2682347064,18
New Zealand,NZL,6.49,6.93,5.84,5.43,5.41,5.15,4.74,4.33,4.11,4.59,4.12,"4,841,000",206928765544,138
Nicaragua,NIC,6.5,5.21,5.28,4.52,4.7,3.9,3.3,5.2,5.21,6.08,5.96,"6,545,502",12520915291,100
Niger,NER,0.32,2.18,1.37,0.52,0.53,0.53,0.54,0.55,0.55,0.62,0.75,"23,310,715",12928145120,180
Nigeria,NGA,3.77,3.74,3.7,4.56,4.31,7.06,8.39,8.46,8.53,9.71,9.79,"200,963,599",448120428859,53
North Korea,PRK,2.78,2.81,2.8,2.74,2.74,2.76,2.7,2.63,2.59,2.92,2.59,"25,666,161",32100000000,166
Norway,NOR,3.21,3.12,3.42,3.48,4.3,4.68,4.16,3.8,3.69,4.42,4.99,"5,347,896",403336363636,122
